Unnamed: 0,Date,Team,Acquired,Relinquished,Notes
20165.0,2014-01-17,Thunder,, Andre Roberson,placed on IL
20166.0,2014-01-17,Timberwolves,, Gorgui Dieng,placed on IL
20167.0,2014-01-17,Timberwolves, A.J. Price,,activated from IL
20168.0,2014-01-18,Clippers,, Reggie Bullock,placed on IL
20169.0,2014-01-18,Clippers, Byron Mullens / B.J. Mullens,,activated from IL
20170.0,2014-01-18,Mavericks, Devin Harris,,activated from IL
20171.0,2014-01-18,Pistons,, Chauncey Billups,placed on IL
20172.0,2014-01-18,Rockets,, Francisco Garcia,placed on IL with left knee tendinitis
20173.0,2014-01-18,Timberwolves,, A.J. Price,placed on IL
20174.0,2014-01-18,Timberwolves, Gorgui Dieng,,activated from IL
20175.0,2014-01-18,Mavericks,, Ricky Ledo,placed on IL
20176.0,2014-01-18,Rockets, Robert Covington,,activated from IL
20177.0,2014-01-19,Kings,, Ray McCallum Jr.,placed on IL
20178.0,2014-01-19,Kings, Carl Landry,,activated from IL
20179.0,2014-01-19,Raptors,, Austin Daye,placed on IL (P)
20180.0,2014-01-19,Rockets, Patrick Beverley,,activated from IL
20181.0,2014-01-19,Raptors, John Salmons,,activated from IL
20182.0,2014-01-20,Heat,, Dwyane Wade,placed on IL with sore knees
20183.0,2014-01-20,Heat, Chris Andersen,,activated from IL
20184.0,2014-01-20,Knicks, Pablo Prigioni,,activated from IL
20185.0,2014-01-20,Nets,, Tornike Shengelia,placed on IL
20186.0,2014-01-20,Nets, Deron Williams,,activated from IL
20187.0,2014-01-20,Rockets,, Omer Asik,placed on IL with bruised right thigh
20188.0,2014-01-20,Wizards, Glen Rice Jr.,,activated from IL
20189.0,2014-01-21,Jazz,, Derrick Favors,placed on IL with hip injury
20190.0,2014-01-21,Jazz, Gordon Hayward,,activated from IL
20191.0,2014-01-21,Kings, Ray McCallum Jr.,,activated from IL
20192.0,2014-01-22,Bulls,, Kirk Hinrich,placed on IL with right hamstring injury
20193.0,2014-01-22,Celtics,, Jerryd Bayless,placed on IL
20194.0,2014-01-22,Clippers,, Willie Green,placed on IL
20195.0,2014-01-22,Clippers, Reggie Bullock,,activated from IL
20196.0,2014-01-22,Knicks,, Kenyon Martin Sr.,placed on IL with sprained left ankle
20197.0,2014-01-22,Knicks, Pablo Prigioni,,activated from IL (P)
20198.0,2014-01-22,Mavericks,, Dirk Nowitzki,placed on IL for rest
20199.0,2014-01-22,Pacers,, Orlando Johnson,placed on IL
20200.0,2014-01-22,Pacers, Solomon Hill,,activated from IL
20201.0,2014-01-22,Rockets,, Isaiah Canaan,placed on IL
20202.0,2014-01-22,Rockets, Francisco Garcia,,activated from IL
20203.0,2014-01-22,Mavericks, Ricky Ledo,,activated from IL
20204.0,2014-01-24,Celtics,, Avery Bradley,placed on IL
20205.0,2014-01-24,Clippers,, Willie Green,placed on IL (P)
20206.0,2014-01-24,Clippers, Byron Mullens / B.J. Mullens,,activated from IL (P)
20207.0,2014-01-24,Kings,, DeMarcus Cousins,placed on IL with ankle injury
20208.0,2014-01-24,Kings,, Rudy Gay,placed on IL with Achilles injury
20209.0,2014-01-24,Knicks,, Andrea Bargnani,placed on IL with torn ligament in left elbow (out for season)
20210.0,2014-01-24,Knicks, Metta World Peace / Ron Artest,,activated from IL
20211.0,2014-01-24,Mavericks,, Ricky Ledo,placed on IL
20212.0,2014-01-24,Mavericks, Dirk Nowitzki,,activated from IL
20213.0,2014-01-24,Pacers,, Solomon Hill,placed on IL
20214.0,2014-01-24,Pacers, Orlando Johnson,,activated from IL
20215.0,2014-01-24,Spurs,, Kawhi Leonard,placed on IL with fractured right hand
20216.0,2014-01-24,Suns,, Archie Goodwin,placed on IL
20217.0,2014-01-24,Timberwolves,, Gorgui Dieng,placed on IL
20218.0,2014-01-24,Timberwolves, A.J. Price,,activated from IL
20219.0,2014-01-25,Hawks,, Pero Antic,placed on IL with stress fracture in right ankle
20220.0,2014-01-25,Jazz,, Ian Clark,placed on IL
20221.0,2014-01-25,Jazz, Derrick Favors,,activated from IL
20222.0,2014-01-25,Timberwolves,, Shabazz Muhammad,placed on IL
20223.0,2014-01-25,Timberwolves, Gorgui Dieng,,activated from IL
20224.0,2014-01-25,Hawks, Jared Cunningham,,activated from IL
20225.0,2014-01-26,Heat,, James Jones (Andrew),placed on IL
20226.0,2014-01-26,Heat, Dwyane Wade,,activated from IL
20227.0,2014-01-27,Clippers, Byron Mullens / B.J. Mullens,,activated from IL (P)
20228.0,2014-01-27,Timberwolves,, A.J. Price,placed on IL
20229.0,2014-01-27,Timberwolves, Shabazz Muhammad,,activated from IL
